examine,id,members,lowalch,limit,value,highalch,icon,name,price,last,volume
3 doses of Strength potion.,115,False,5,2000,13,7,Strength potion(3).png,Strength potion(3),80,81,112328
2 doses of Strength potion.,117,False,5,2000,13,7,Strength potion(2).png,Strength potion(2),66,66,2046
1 dose of Strength potion.,119,False,4,2000,11,6,Strength potion(1).png,Strength potion(1),28,28,1024
3 doses of Attack potion.,121,True,4,2000,12,7,Attack potion(3).png,Attack potion(3),3,3,176169
2 doses of Attack potion.,123,True,3,2000,9,5,Attack potion(2).png,Attack potion(2),3,3,305
1 dose of Attack potion.,125,True,2,2000,6,3,Attack potion(1).png,Attack potion(1),1,1,79
3 doses of restore potion.,127,True,35,2000,88,52,Restore potion(3).png,Restore potion(3),63,63,13350
2 doses of restore potion.,129,True,26,2000,66,39,Restore potion(2).png,Restore potion(2),41,41,72
1 dose of restore potion.,131,True,17,2000,44,26,Restore potion(1).png,Restore potion(1),23,23,28
3 doses of Defence potion.,133,True,48,2000,120,72,Defence potion(3).png,Defence potion(3),300,296,2373
2 doses of Defence potion.,135,True,36,2000,90,54,Defence potion(2).png,Defence potion(2),216,216,152
1 dose of Defence potion.,137,True,24,2000,60,36,Defence potion(1).png,Defence potion(1),157,157,99
3 doses of Prayer restore potion.,139,True,60,2000,152,91,Prayer potion(3).png,Prayer potion(3),7519,7519,696344
2 doses of Prayer restore potion.,141,True,45,2000,114,68,Prayer potion(2).png,Prayer potion(2),4964,4964,8439
1 dose of Prayer restore potion.,143,True,30,2000,76,45,Prayer potion(1).png,Prayer potion(1),2491,2491,7911
3 doses of super Attack potion.,145,True,72,2000,180,108,Super attack(3).png,Super attack(3),962,962,417378
2 doses of super Attack potion.,147,True,54,2000,135,81,Super attack(2).png,Super attack(2),661,661,1047
1 dose of super Attack potion.,149,True,36,2000,90,54,Super attack(1).png,Super attack(1),357,357,2318
3 doses of Fishing potion.,151,True,80,2000,200,120,Fishing potion(3).png,Fishing potion(3),52,54,2299
2 doses of Fishing potion.,153,True,60,2000,150,90,Fishing potion(2).png,Fishing potion(2),82,82,6
1 dose of Fishing potion.,155,True,40,2000,100,60,Fishing potion(1).png,Fishing potion(1),33,33,9
3 doses of super Strength potion.,157,True,88,2000,220,132,Super strength(3).png,Super strength(3),3887,3887,358337
2 doses of super Strength potion.,159,True,66,2000,165,99,Super strength(2).png,Super strength(2),2485,2485,1331
1 dose of super Strength potion.,161,True,44,2000,110,66,Super strength(1).png,Super strength(1),1278,1278,1354
3 doses of super Defence potion.,163,True,105,2000,264,158,Super defence(3).png,Super defence(3),3893,3893,357560
2 doses of super Defence potion.,165,True,79,2000,198,118,Super defence(2).png,Super defence(2),2681,2681,1066
1 dose of super Defence potion.,167,True,52,2000,132,79,Super defence(1).png,Super defence(1),1373,1373,1105
3 doses of ranging potion.,169,True,115,2000,288,172,Ranging potion(3).png,Ranging potion(3),2089,2089,208151
2 doses of ranging potion.,171,True,86,2000,216,129,Ranging potion(2).png,Ranging potion(2),1313,1313,7808
1 dose of ranging potion.,173,True,57,2000,144,86,Ranging potion(1).png,Ranging potion(1),774,754,20520
3 doses of antipoison potion.,175,False,115,2000,288,172,Antipoison(3).png,Antipoison(3),108,108,45937
2 doses of antipoison potion.,177,False,86,2000,216,129,Antipoison(2).png,Antipoison(2),80,80,288
1 dose of antipoison potion.,179,False,57,2000,144,86,Antipoison(1).png,Antipoison(1),46,46,676
3 doses of super antipoison potion.,181,True,115,2000,288,172,Superantipoison(3).png,Superantipoison(3),1187,1187,29181
2 doses of super antipoison potion.,183,True,86,2000,216,129,Superantipoison(2).png,Superantipoison(2),689,656,1829
1 dose of super antipoison potion.,185,True,57,2000,144,86,Superantipoison(1).png,Superantipoison(1),380,375,635
For use on daggers and projectiles.,187,True,57,2000,144,86,Weapon poison.png,Weapon poison,276,276,14155
3 doses of Zamorak brew.,189,True,70,2000,175,105,Zamorak brew(3).png,Zamorak brew(3),1234,1234,9839
2 doses of Zamorak brew.,191,True,60,2000,150,90,Zamorak brew(2).png,Zamorak brew(2),913,913,19
1 dose of Zamorak brew.,193,True,50,2000,125,75,Zamorak brew(1).png,Zamorak brew(1),523,523,410
A cup of a strange brew...,197,True,8,2000,20,12,Poison chalice.png,Poison chalice,1172,1172,52
It needs cleaning.,199,True,5,13000,13,7,Grimy guam leaf.png,Grimy guam leaf,229,221,405140
It needs cleaning.,201,True,5,13000,14,8,Grimy marrentill.png,Grimy marrentill,101,97,282311
It needs cleaning.,203,True,6,13000,15,9,Grimy tarromin.png,Grimy tarromin,125,121,418990
It needs cleaning.,205,True,6,13000,16,9,Grimy harralander.png,Grimy harralander,693,663,742857
It needs cleaning.,207,True,12,11000,30,18,Grimy ranarr weed.png,Grimy ranarr weed,7150,7127,1061023
It needs cleaning.,209,True,6,13000,17,10,Grimy irit leaf.png,Grimy irit leaf,1554,1496,757627
It needs cleaning.,211,True,7,13000,18,10,Grimy avantoe.png,Grimy avantoe,3826,3858,619266
It needs cleaning.,213,True,8,13000,20,12,Grimy kwuarm.png,Grimy kwuarm,3808,3838,594967
It needs cleaning.,215,True,8,11000,22,13,Grimy cadantine.png,Grimy cadantine,3821,3846,538942
It needs cleaning.,217,True,9,11000,24,14,Grimy dwarf weed.png,Grimy dwarf weed,2452,2425,595791
It needs cleaning.,219,True,10,11000,25,15,Grimy torstol.png,Grimy torstol,4121,4152,553058
It seems to be looking at me.,221,False,1,13000,3,1,Eye of newt.png,Eye of newt,3,3,2004270
Ewww!,223,False,2,13000,7,4,Red spiders' eggs.png,Red spiders' eggs,427,425,1957799
The root of a limpwurt plant.,225,False,2,13000,7,4,Limpwurt root.png,Limpwurt root,669,674,1308238
A glass vial containing water.,227,False,1,13000,2,1,Vial of water.png,Vial of water,3,3,15545517
An empty glass vial.,229,False,1,13000,2,1,Vial.png,Vial,2,2,8038635
Strange spiky grass.,231,True,4,13000,10,6,Snape grass.png,Snape grass,469,473,2768213
I can grind things for potions in this.,233,True,1,40,4,2,Pestle and mortar.png,Pestle and mortar,210,205,2553
Finely ground horn of Unicorn.,235,True,8,13000,20,12,Unicorn horn dust.png,Unicorn horn dust,1628,1628,158260
This horn has restorative properties.,237,True,8,13000,20,12,Unicorn horn.png,Unicorn horn,1489,1495,157133
"Sour berries, used in potions.",239,True,4,13000,10,6,White berries.png,White berries,850,895,760568
Finely ground scale of Dragon.,241,True,20,13000,52,31,Dragon scale dust.png,Dragon scale dust,71,71,344451
A large shiny scale.,243,True,20,13000,50,30,Blue dragon scale.png,Blue dragon scale,11,11,494539
An evil wine for an evil god.,245,False,1,11000,1,1,Wine of zamorak.png,Wine of zamorak,760,752,1159862
They don't look very ripe.,247,True,1,13000,1,1,Jangerberries.png,Jangerberries,337,337,47990
A bitter green herb.,249,True,1,13000,3,1,Guam leaf.png,Guam leaf,253,244,458384
A herb used in poison cures.,251,True,2,13000,5,3,Marrentill.png,Marrentill,123,122,405315
A useful herb.,253,True,4,13000,11,6,Tarromin.png,Tarromin,160,155,542836
A useful herb.,255,True,8,13000,20,12,Harralander.png,Harralander,745,709,480260
A useful herb.,257,True,10,11000,25,15,Ranarr weed.png,Ranarr weed,7163,7144,528437
A useful herb.,259,True,16,13000,40,24,Irit leaf.png,Irit leaf,1613,1568,411465
A useful herb.,261,True,19,13000,48,28,Avantoe.png,Avantoe,3853,3858,217239
A powerful herb.,263,True,21,13000,54,32,Kwuarm.png,Kwuarm,3850,3934,279954
A powerful herb.,265,True,26,11000,65,39,Cadantine.png,Cadantine,3862,3912,143881
A powerful herb.,267,True,28,11000,70,42,Dwarf weed.png,Dwarf weed,2451,2413,231412
A powerful herb.,269,True,30,11000,75,45,Torstol.png,Torstol,4228,4161,746314
Keeps your pet fish strong and healthy.,272,False,1,15,1,1,Fish food.png,Fish food,481,475,851
This stuff looks nasty.,273,False,1,15,1,1,Poison (item).png,Poison (item),655,638,963
Some brown armour designed to fit goblins.,288,False,16,15,40,24,Goblin mail.png,Goblin mail,706,696,5762
Magical seeds in a mithril case.,299,True,80,18000,200,120,Mithril seeds.png,Mithril seeds,2029,2063,219785
Useful for catching lobsters.,301,False,8,40,20,12,Lobster pot.png,Lobster pot,302,288,1889
Useful for catching small fish.,303,False,2,40,5,3,Small fishing net.png,Small fishing net,227,227,16081
Useful for catching lots of fish.,305,True,8,40,20,12,Big fishing net.png,Big fishing net,483,486,954
Useful for catching sardine or herring.,307,False,2,40,5,3,Fishing rod.png,Fishing rod,151,146,1284
Useful for catching salmon or trout.,309,False,2,40,5,3,Fly fishing rod.png,Fly fishing rod,123,118,1408
Useful for catching really big fish.,311,False,2,40,5,3,Harpoon.png,Harpoon,106,106,638
For use with a fishing rod.,313,False,1,8000,3,1,Fishing bait.png,Fishing bait,3,3,5060986
Used for fly fishing.,314,False,1,30000,2,1,Feather.png,Feather,2,2,155452641
Some nicely cooked shrimp.,315,False,2,6000,5,3,Shrimps.png,Shrimps,27,27,103872
I should try cooking this.,317,False,2,15000,5,3,Raw shrimps.png,Raw shrimps,118,117,189702
Some nicely cooked anchovies.,319,False,6,15000,15,9,Anchovies.png,Anchovies,59,61,274157
I should try cooking this.,321,False,6,13000,15,9,Raw anchovies.png,Raw anchovies,56,54,88702
Some nicely cooked sardines.,325,False,4,6000,10,6,Sardine.png,Sardine,31,30,32920
I should try cooking this.,327,False,4,15000,10,6,Raw sardine.png,Raw sardine,92,90,132002
Some nicely cooked salmon.,329,False,12,6000,30,18,Salmon.png,Salmon,84,87,376388
I should try cooking this.,331,False,12,15000,30,18,Raw salmon.png,Raw salmon,66,64,465073
Some nicely cooked trout.,333,False,4,6000,10,6,Trout.png,Trout,37,38,400298
I should try cooking this.,335,False,4,15000,10,6,Raw trout.png,Raw trout,81,81,408771
Some nicely cooked cod.,339,True,4,6000,10,6,Cod.png,Cod,7,7,25955
I should try cooking this.,341,True,4,15000,10,6,Raw cod.png,Raw cod,36,36,8947
I should try cooking this.,345,False,4,15000,10,6,Raw herring.png,Raw herring,145,146,127332
Some nicely cooked herring.,347,False,4,6000,10,6,Herring.png,Herring,40,40,19725
I should try cooking this.,349,False,8,15000,20,12,Raw pike.png,Raw pike,108,114,52902
Some nicely cooked pike.,351,False,8,6000,20,12,Pike.png,Pike,31,31,45375
I should try cooking this.,353,True,6,15000,15,9,Raw mackerel.png,Raw mackerel,25,25,36755
Some nicely cooked mackerel.,355,True,6,6000,15,9,Mackerel.png,Mackerel,17,17,5209
I should try cooking this.,359,False,16,15000,40,24,Raw tuna.png,Raw tuna,62,63,817075
"Wow, this is a big fish.",361,False,16,6000,40,24,Tuna.png,Tuna,124,122,874322
I should try cooking this.,363,True,16,15000,40,24,Raw bass.png,Raw bass,14,14,950978
"Wow, this is a big fish.",365,True,16,6000,40,24,Bass.png,Bass,117,122,642796
I should try cooking this.,371,False,32,15000,80,48,Raw swordfish.png,Raw swordfish,107,107,3130037
I'd better be careful eating this!,373,False,32,6000,80,48,Swordfish.png,Swordfish,179,181,2276546
I should try cooking this.,377,False,28,15000,70,42,Raw lobster.png,Raw lobster,80,80,3226489
This looks tricky to eat.,379,False,28,6000,70,42,Lobster.png,Lobster,166,162,2420848
I should try cooking this.,383,True,68,15000,170,102,Raw shark.png,Raw shark,700,708,7140335
I'd better be careful eating this.,385,True,68,10000,170,102,Shark.png,Shark,984,991,6067175
A rare catch.,389,True,80,15000,200,120,Raw manta ray.png,Raw manta ray,1572,1590,497851
A rare catch.,391,True,80,10000,200,120,Manta ray.png,Manta ray,1914,1886,1882324
A rare catch.,395,True,80,15000,200,120,Raw sea turtle.png,Raw sea turtle,873,886,321490
Tasty!,397,True,80,10000,200,120,Sea turtle.png,Sea turtle,1207,1233,326064
Slightly damp seaweed.,401,True,1,13000,2,1,Seaweed.png,Seaweed,12,12,973045
Slightly damp seaweed.,403,True,1,13000,2,1,Edible seaweed.png,Edible seaweed,25,25,456
I hope there's treasure in it.,405,True,20,50,50,30,Casket.png,Casket,1979,1956,6184
Maybe there are pearls inside?,407,True,80,11000,200,120,Oyster.png,Oyster,72,71,24766
I could work wonders with a chisel on this pearl.,411,True,44,11000,112,67,Oyster pearl.png,Oyster pearl,185,186,15007
I could work wonders with a chisel on these pearls.,413,True,560,11000,1400,840,Oyster pearls.png,Oyster pearls,1775,1827,777
Top half of a priest suit.,426,False,2,150,5,3,Priest gown (top).png,Priest gown (top),23,21,618
Bottom half of a priest suit.,428,False,2,150,5,3,Priest gown (bottom).png,Priest gown (bottom),7,7,596
Some hard dry clay.,434,False,1,13000,1,1,Clay.png,Clay,90,86,115807
This needs refining.,436,False,1,13000,3,1,Copper ore.png,Copper ore,26,26,1676031
This needs refining.,438,False,1,13000,3,1,Tin ore.png,Tin ore,27,28,1476715
This needs refining.,440,False,6,13000,17,10,Iron ore.png,Iron ore,190,189,13430638
This needs refining.,442,False,30,13000,75,45,Silver ore.png,Silver ore,75,77,4265011
This needs refining.,444,False,60,30000,150,90,Gold ore.png,Gold ore,177,178,24918402
This needs refining.,447,False,64,13000,162,97,Mithril ore.png,Mithril ore,168,172,13124560
This needs refining.,449,False,160,4500,400,240,Adamantite ore.png,Adamantite ore,840,843,7080767
This needs refining.,451,False,1280,4500,3200,1920,Runite ore.png,Runite ore,11124,11145,1592496
Hmm a non-renewable energy source!,453,False,18,13000,45,27,Coal.png,Coal,143,144,54355318
I wonder what this tastes like?,464,True,1,2000,1,1,Strange fruit.png,Strange fruit,735,772,31685
Bones are for burying!,526,False,1,3000,1,1,Bones.png,Bones,89,93,248873
Bones are for burying!,528,False,1,3000,1,1,Burnt bones.png,Burnt bones,463,463,3066
Ew it's a pile of bones.,530,True,1,3000,1,1,Bat bones.png,Bat bones,442,439,2353
Ew it's a pile of bones.,532,False,1,3000,1,1,Big bones.png,Big bones,349,339,904466
Ew it's a pile of bones.,534,True,1,3000,1,1,Babydragon bones.png,Babydragon bones,1204,1268,116196
These would feed a dog for months!,536,True,64,7500,160,96,Dragon bones.png,Dragon bones,4196,4272,4738953
Keeps a druid's knees nice and warm.,538,True,12,125,30,18,Druid's robe.png,Druid's robe,452,452,5
I feel closer to the gods when I am wearing this.,540,True,16,125,40,24,Druid's robe top.png,Druid's robe top,700,700,18
Keeps a monk's knees nice and warm.,542,False,12,125,30,18,Monk's robe.png,Monk's robe,260,254,21681
I feel closer to the gods when I am wearing this.,544,False,16,125,40,24,Monk's robe top.png,Monk's robe top,562,548,22097
I feel closer to the gods when I am wearing this.,546,False,16,125,40,24,Shade robe top.png,Shade robe top,1194,1201,320
"If a shade had knees, this would keep them nice and warm.",548,False,12,125,30,18,Shade robe.png,Shade robe,842,814,284
One of the 4 basic elemental Runes.,554,False,1,50000,4,2,Fire rune.png,Fire rune,4,4,208519258
One of the 4 basic elemental Runes.,555,False,1,50000,4,2,Water rune.png,Water rune,4,4,97748362
One of the 4 basic elemental Runes.,556,False,1,50000,4,2,Air rune.png,Air rune,4,4,124317987
One of the 4 basic elemental Runes.,557,False,1,50000,4,2,Earth rune.png,Earth rune,4,4,73599300
Used for basic level missile spells.,558,False,1,18000,3,1,Mind rune.png,Mind rune,2,2,48149347
Used for curse spells.,559,False,1,18000,3,1,Body rune.png,Body rune,8,8,5893436
Used for medium level missile spells.,560,False,72,25000,180,108,Death rune.png,Death rune,194,194,80752158
Used for alchemy spells.,561,False,72,18000,180,108,Nature rune.png,Nature rune,112,111,57800662
Used for low level missile spells.,562,False,36,18000,90,54,Chaos rune.png,Chaos rune,104,103,90625965
Used for teleport spells.,563,False,96,18000,240,144,Law rune.png,Law rune,149,151,30914886
Used for enchant spells.,564,False,20,18000,50,30,Cosmic rune.png,Cosmic rune,124,127,25561531
Used for high level missile spells.,565,True,160,25000,400,240,Blood rune.png,Blood rune,301,305,104162032
Used for high level curse spells.,566,True,120,25000,300,180,Soul rune.png,Soul rune,181,185,54182486
I'd prefer it if it was powered.,567,True,40,10000,100,60,Unpowered orb.png,Unpowered orb,76,76,3787318
A magic glowing orb.,569,True,120,11000,300,180,Fire orb.png,Fire orb,1040,1043,509415
A magic glowing orb.,571,True,120,11000,300,180,Water orb.png,Water orb,749,751,492330
A magic glowing orb.,573,True,120,11000,300,180,Air orb.png,Air orb,1405,1421,3069095
A magic glowing orb.,575,True,120,11000,300,180,Earth orb.png,Earth orb,758,757,1175577
I can do magic better in this.,577,False,6,125,15,9,Blue wizard robe.png,Blue wizard robe,2031,2076,3674
A silly pointed hat.,579,False,1,125,2,1,Blue wizard hat.png,Blue wizard hat,246,243,7809
I can do magic better in this.,581,False,5,125,13,7,Black robe.png,Black robe,1546,1529,3638
Useful for lighting a fire.,590,False,1,40,1,1,Tinderbox.png,Tinderbox,66,70,30814
A heap of ashes.,592,False,1,13000,2,1,Ashes.png,Ashes,96,95,485646
An unlit home-made torch.,596,True,1,40,4,2,Unlit torch.png,Unlit torch,1,1,8198
Allows you passage on the 'Lady of the waves' ship.,621,True,2,18000,5,3,Ship ticket.png,Ship ticket,209,209,3
"They're soft, silky and pink.",626,True,80,150,200,120,Pink boots.png,Pink boots,991,991,316
"They're soft, silky and green.",628,True,80,150,200,120,Green boots.png,Green boots,849,862,412
"They're soft, silky and blue.",630,True,80,150,200,120,Blue boots.png,Blue boots,1116,1116,276
"They're soft, silky and cream.",632,True,80,150,200,120,Cream boots.png,Cream boots,889,884,109
"They're soft, silky and turquoise.",634,True,80,150,200,120,Turquoise boots.png,Turquoise boots,282,282,33
"The ultimate in gnome design, now in pink!",636,True,72,150,180,108,Pink robe top.png,Pink robe top,850,850,85
"The ultimate in gnome design, now in green!",638,True,72,150,180,108,Green robe top.png,Green robe top,984,984,187
"The ultimate in gnome design, now in blue!",640,True,72,150,180,108,Blue robe top.png,Blue robe top,993,993,142
"The ultimate in gnome design, now in cream!",642,True,72,150,180,108,Cream robe top.png,Cream robe top,751,723,107
"The ultimate in gnome design, now in turquoise!",644,True,72,150,180,108,Turquoise robe top.png,Turquoise robe top,901,863,120
Made by Tree Gnomes with a thing for pink.,646,True,72,150,180,108,Pink robe bottoms.png,Pink robe bottoms,224,224,78
Made by Tree Gnomes with a thing for green.,648,True,72,150,180,108,Green robe bottoms.png,Green robe bottoms,907,907,91
Made by Tree Gnomes with a thing for blue.,650,True,72,150,180,108,Blue robe bottoms.png,Blue robe bottoms,606,606,34
Made by Tree Gnomes with a thing for cream.,652,True,72,150,180,108,Cream robe bottoms.png,Cream robe bottoms,232,232,76
Made by Tree Gnomes with a thing for turquoise.,654,True,72,150,180,108,Turquoise robe bottoms.png,Turquoise robe bottoms,962,962,67
A silly pink pointed hat.,656,True,64,150,160,96,Pink hat.png,Pink hat,1015,1015,826
A silly green pointed hat.,658,True,64,150,160,96,Green hat.png,Green hat,932,932,618
A silly blue pointed hat.,660,True,64,150,160,96,Blue hat.png,Blue hat,672,672,145
A silly cream pointed hat.,662,True,64,150,160,96,Cream hat.png,Cream hat,1145,1145,847
A silly turquoise pointed hat.,664,True,64,150,160,96,Turquoise hat.png,Turquoise hat,1120,1110,342
A ball used in Gnomeball.,751,True,1,150,1,1,Gnomeball.png,Gnomeball,33502,33502,289
Poisonous berries.,753,False,1,600,1,1,Cadava berries.png,Cadava berries,207,206,31144
A finely balanced throwing axe.,800,True,1,7000,3,1,Bronze thrownaxe.png,Bronze thrownaxe,17,17,1
A finely balanced throwing axe.,801,True,2,7000,7,4,Iron thrownaxe.png,Iron thrownaxe,28,28,1
A finely balanced throwing axe.,802,True,10,7000,26,15,Steel thrownaxe.png,Steel thrownaxe,44,44,200
A finely balanced throwing axe.,803,True,28,7000,70,42,Mithril thrownaxe.png,Mithril thrownaxe,164,164,2
A finely balanced throwing axe.,804,True,70,11000,176,105,Adamant thrownaxe.png,Adamant thrownaxe,315,315,0
A finely balanced throwing axe.,805,True,176,11000,440,264,Rune thrownaxe.png,Rune thrownaxe,205,202,102662
A deadly throwing dart with a bronze tip.,806,True,1,7000,1,1,Bronze dart.png,Bronze dart,24,23,514445
A deadly throwing dart with an iron tip.,807,True,1,7000,2,1,Iron dart.png,Iron dart,26,26,1817428
A deadly throwing dart with a steel tip.,808,True,4,7000,10,6,Steel dart.png,Steel dart,2,2,2305389
A deadly throwing dart with a mithril tip.,809,True,10,7000,25,15,Mithril dart.png,Mithril dart,3,3,21547544
A deadly throwing dart with an adamant tip.,810,True,26,11000,65,39,Adamant dart.png,Adamant dart,18,18,22132098
A deadly throwing dart with a rune tip.,811,True,140,11000,350,210,Rune dart.png,Rune dart,234,236,3463205
A deadly poisoned dart with a bronze tip.,812,True,1,7000,1,1,Bronze dart(p).png,Bronze dart(p),27,27,0
A deadly poisoned dart with an iron tip.,813,True,1,7000,2,1,Iron dart (p).png,Iron dart (p),47,47,0
A deadly poisoned dart with a steel tip.,814,True,4,7000,10,6,Steel dart(p).png,Steel dart(p),41,41,0
A deadly poisoned dart with a mithril tip.,815,True,10,7000,25,15,Mithril dart(p).png,Mithril dart(p),139,139,0
A deadly poisoned dart with an adamant tip.,816,True,26,11000,65,39,Adamant dart(p).png,Adamant dart(p),19,19,15064
A deadly poisoned dart with a rune tip.,817,True,140,11000,350,210,Rune dart(p).png,Rune dart(p),225,225,29767
A deadly looking dart tip made of bronze - needs feathers for flight.,819,True,1,13000,1,1,Bronze dart tip.png,Bronze dart tip,40,39,329464
A deadly looking dart tip made of iron - needs feathers for flight.,820,True,1,13000,3,1,Iron dart tip.png,Iron dart tip,48,50,1298893
A deadly-looking dart tip made of steel - needs feathers for flight.,821,True,2,13000,5,3,Steel dart tip.png,Steel dart tip,73,75,3003148
A deadly looking dart tip made of mithril - needs feathers for flight.,822,True,4,20000,12,7,Mithril dart tip.png,Mithril dart tip,90,92,18568358
A deadly-looking dart tip made of adamant - needs feathers for flight.,823,True,14,20000,36,21,Adamant dart tip.png,Adamant dart tip,194,194,16428320
A deadly-looking dart tip made of runite - needs feathers for flight.,824,True,70,11000,175,105,Rune dart tip.png,Rune dart tip,1250,1279,1573010
A bronze tipped javelin.,825,True,1,7000,4,2,Bronze javelin.png,Bronze javelin,14,14,58222
An iron tipped javelin.,826,True,2,7000,6,3,Iron javelin.png,Iron javelin,6,6,1340
A steel tipped javelin.,827,True,9,7000,24,14,Steel javelin.png,Steel javelin,1,1,1240
A mithril tipped javelin.,828,True,25,7000,64,38,Mithril javelin.png,Mithril javelin,14,14,47521
An adamant tipped javelin.,829,True,64,11000,160,96,Adamant javelin.png,Adamant javelin,39,42,149626
A rune tipped javelin.,830,True,160,11000,400,240,Rune javelin.png,Rune javelin,182,182,874358
A bronze tipped javelin.,831,True,1,7000,4,2,Bronze javelin(p).png,Bronze javelin(p),10,10,0
An iron tipped javelin.,832,True,2,7000,6,3,Iron javelin(p).png,Iron javelin(p),28,28,0
A steel tipped javelin.,833,True,9,7000,24,14,Steel javelin(p).png,Steel javelin(p),96,96,0
